s.no,timestamp,ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps)
102,2026-03-08_08:42:06.031,-1.011136,-0.060573,0.003355,1.2425,-1.75875,-0.84875
103,2026-03-08_08:42:06.133,-1.011258,-0.058804,0.006893,1.49625,-1.8025,-0.98875
104,2026-03-08_08:42:06.235,-1.013515,-0.069174,0.002867,1.3125,-1.79375,-0.84
105,2026-03-08_08:42:06.337,-1.010282,-0.061122,0.004392,1.04125,-1.79375,-0.9275
106,2026-03-08_08:42:06.439,-1.018334,-0.057889,-0.006222,1.02375,-1.70625,-0.86625
107,2026-03-08_08:42:06.541,-1.0126,-0.059048,-0.00366,1.00625,-1.74125,-0.8225
108,2026-03-08_08:42:06.643,-1.026264,-0.05795,-0.000122,1.05875,-1.67125,-0.70875
109,2026-03-08_08:42:06.745,-1.014674,-0.05368,0.00122,1.02375,-1.81125,-1.09375
110,2026-03-08_08:42:06.848,-1.018334,-0.064355,-0.00061,1.085,-1.86375,-0.88375
111,2026-03-08_08:42:06.950,-1.019676,-0.059963,-0.005002,1.015,-1.8725,-0.8575
112,2026-03-08_08:42:07.052,-1.016199,-0.067405,0.000366,1.12875,-1.54,-0.90125
113,2026-03-08_08:42:07.154,-1.010343,-0.063745,0.007747,1.14625,-1.715,-0.8925
114,2026-03-08_08:42:07.256,-1.014064,-0.062647,0.005307,1.1025,-1.715,-0.98875
115,2026-03-08_08:42:07.358,-1.007903,-0.062342,0.003172,1.12875,-1.72375,-0.95375
116,2026-03-08_08:42:07.459,-1.011624,-0.060146,0.003477,1.19875,-1.79375,-0.91
117,2026-03-08_08:42:07.561,-1.017663,-0.058133,-0.004819,1.07625,-1.9425,-0.77
118,2026-03-08_08:42:07.663,-1.007781,-0.055632,-0.008174,0.91875,-1.84625,-0.98
119,2026-03-08_08:42:07.764,-1.009367,-0.060085,0.002562,1.015,-1.65375,-0.875
120,2026-03-08_08:42:07.866,-1.022543,-0.070394,0.012505,1.0675,-1.5925,-0.875
121,2026-03-08_08:42:07.968,-1.014125,-0.057279,0.008723,1.07625,-1.61875,-0.91875
122,2026-03-08_08:42:08.072,-1.01504,-0.070821,0.00366,1.19875,-1.65375,-0.97125
123,2026-03-08_08:42:08.173,-1.00894,-0.060268,0.000732,0.98875,-1.88125,-0.945
124,2026-03-08_08:42:08.276,-1.014979,-0.059658,0.003538,1.1725,-1.68875,-0.83125
125,2026-03-08_08:42:08.378,-1.016321,-0.058438,-0.005429,1.2425,-1.79375,-0.97125
126,2026-03-08_08:42:08.480,-1.013576,-0.057035,-0.010309,0.875,-1.79375,-0.91875
127,2026-03-08_08:42:08.582,-1.013759,-0.057218,-0.002318,1.00625,-1.715,-0.86625
128,2026-03-08_08:42:08.684,-1.015955,-0.059414,0.004636,0.84875,-1.7325,-0.8925
129,2026-03-08_08:42:08.786,-1.013698,-0.067954,0.010248,1.26,-1.70625,-0.875
130,2026-03-08_08:42:08.888,-1.009489,-0.069174,0.00732,1.2425,-1.7325,-0.7875
131,2026-03-08_08:42:08.990,-1.007659,-0.056974,0.000732,1.02375,-1.89,-0.9625
132,2026-03-08_08:42:09.092,-1.009062,-0.05673,-0.002867,1.12875,-1.6975,-0.88375
133,2026-03-08_08:42:09.193,-1.014308,-0.058682,-0.002867,1.2425,-1.8375,-1.015
134,2026-03-08_08:42:09.295,-1.014796,-0.062952,0.005612,0.8925,-1.77625,-0.98875
135,2026-03-08_08:42:09.397,-1.008452,-0.069235,0.007808,1.23375,-1.74125,-1.02375
136,2026-03-08_08:42:09.499,-1.017175,-0.060878,-0.002501,1.26,-1.82,-0.90125
137,2026-03-08_08:42:09.601,-1.016809,-0.052277,-0.002135,1.28625,-1.82875,-0.77875
138,2026-03-08_08:42:09.703,-1.021018,-0.063928,-0.001769,0.83125,-1.785,-0.945
139,2026-03-08_08:42:09.805,-1.019371,-0.061183,0.001769,1.0675,-1.70625,-0.90125
140,2026-03-08_08:42:09.907,-1.01565,-0.067588,0.011346,1.155,-1.855,-0.945
141,2026-03-08_08:42:10.008,-1.012478,-0.055937,-0.003538,1.02375,-2.0125,-0.9975
142,2026-03-08_08:42:10.110,-1.008086,-0.058133,-0.004392,1.085,-1.8375,-0.90125
143,2026-03-08_08:42:10.212,-1.009123,-0.059231,-0.000305,1.07625,-1.79375,-0.90125
144,2026-03-08_08:42:10.314,-1.012478,-0.061061,0.003965,1.155,-1.8025,-0.95375
145,2026-03-08_08:42:10.416,-1.011075,-0.071004,0.00976,1.12,-1.61875,-0.90125
146,2026-03-08_08:42:10.519,-1.013454,-0.059719,0.002257,1.18125,-1.715,-0.97125
147,2026-03-08_08:42:10.621,-1.017541,-0.057096,-0.005002,1.015,-1.82875,-0.9275
148,2026-03-08_08:42:10.723,-1.020103,-0.066795,0.000427,0.97125,-1.6625,-0.84
149,2026-03-08_08:42:10.825,-1.018944,-0.060512,0.006405,1.05,-1.715,-0.8925
150,2026-03-08_08:42:10.926,-1.002474,-0.065819,0.007198,1.085,-1.785,-0.9275
151,2026-03-08_08:42:11.030,-1.006561,-0.058804,-0.001281,1.2075,-1.785,-1.00625
152,2026-03-08_08:42:11.132,-1.016199,-0.062159,-0.000732,1.2075,-1.6975,-0.8225
153,2026-03-08_08:42:11.235,-1.015955,-0.058377,-0.00366,0.90125,-1.77625,-0.90125
154,2026-03-08_08:42:11.336,-1.012173,-0.063989,0.001403,1.05,-1.74125,-0.84
155,2026-03-08_08:42:11.438,-1.015101,-0.060207,0.003782,1.26,-1.715,-0.91875
156,2026-03-08_08:42:11.540,-1.004365,-0.063257,-0.000427,0.875,-1.77625,-0.97125
157,2026-03-08_08:42:11.642,-1.012905,-0.057584,0.001098,1.19875,-1.7325,-0.9275
158,2026-03-08_08:42:11.744,-1.012417,-0.059231,0.001037,1.26,-1.6275,-0.91
159,2026-03-08_08:42:11.846,-1.006805,-0.057889,0.002928,0.945,-1.84625,-0.98875
160,2026-03-08_08:42:11.948,-1.012539,-0.060146,0.000671,1.07625,-1.8375,-0.9625
161,2026-03-08_08:42:12.050,-1.011746,-0.061793,-0.000305,1.14625,-1.715,-0.945
162,2026-03-08_08:42:12.152,-1.008269,-0.061183,-0.00183,0.93625,-1.6625,-0.945
163,2026-03-08_08:42:12.255,-1.014674,-0.058438,-0.001952,1.00625,-1.645,-0.8575
164,2026-03-08_08:42:12.358,-1.018212,-0.06649,0.001159,0.945,-1.77625,-0.84875
165,2026-03-08_08:42:12.460,-1.01504,-0.061793,0.00305,1.12875,-1.645,-0.8225
166,2026-03-08_08:42:12.562,-1.017724,-0.063684,0.008296,1.26,-1.785,-0.9275
167,2026-03-08_08:42:12.664,-1.019066,-0.052521,-0.002989,1.25125,-1.855,-0.91875
168,2026-03-08_08:42:12.766,-1.00955,-0.060512,-0.003965,0.88375,-1.68,-0.875
169,2026-03-08_08:42:12.868,-1.013149,-0.060512,0.001586,1.1375,-1.67125,-0.9275
170,2026-03-08_08:42:12.970,-1.007354,-0.062952,0.006344,1.2425,-1.7675,-0.95375
171,2026-03-08_08:42:13.072,-1.015955,-0.064721,0.004026,1.23375,-1.81125,-1.015
172,2026-03-08_08:42:13.174,-1.021506,-0.056974,-0.0061,1.0325,-1.81125,-0.98
173,2026-03-08_08:42:13.276,-1.016809,-0.06161,-0.006344,1.085,-1.6625,-0.8225
174,2026-03-08_08:42:13.378,-1.013576,-0.065453,0.003599,0.97125,-1.88125,-1.04125
175,2026-03-08_08:42:13.480,-1.017358,-0.065209,0.00366,1.16375,-1.75,-0.84
176,2026-03-08_08:42:13.582,-1.016138,-0.058377,-0.000427,1.19875,-1.72375,-0.81375
177,2026-03-08_08:42:13.684,-1.014064,-0.063501,0.000976,1.19875,-1.75875,-0.8575
178,2026-03-08_08:42:13.786,-1.015528,-0.062037,-0.00183,1.085,-1.75,-0.86625
179,2026-03-08_08:42:13.889,-1.012661,-0.057462,0.001464,0.83125,-1.72375,-0.8925
180,2026-03-08_08:42:13.991,-1.006073,-0.066246,0.007198,1.225,-1.785,-0.86625
181,2026-03-08_08:42:14.093,-1.008879,-0.061854,-0.000793,1.26,-1.75,-1.00625
182,2026-03-08_08:42:14.194,-1.015955,-0.05307,-0.005612,1.16375,-1.9075,-0.9975
